site_code ,site_units,original_file_variable,mgeo_cpop_variable_R,display_name,what_it_actually_means,units_actual,start_date,stop_date,file_source,notes
USA-MDA,PSI,Pressure,Pressure_psi_a,Pressure (PSI),pressure,PSI,2015,2018,carmen edits,
USA-MDA,PSI,Salinity,Sal_psu,Salinity (PSU),Salinity,PSU,2015,2018,carmen edits,
USA-MDA,microsiemens/cm,Specific Conductivity,SpCond_microS_cm,Specific Conductivity (µS/cm),Specific Conductivity,µS/cm,2015,2018,carmen edits,
USA-MDA,RFU,BGA-PE,BGA_PE_RFU,BGA-PE (RFU),BGA-PE,RFU,2015,2018,carmen edits,
USA-MDA,microg/L,BGA-PE 2,BGA_PE_microg_L,BGA-PE (µg/L),BGA-PE,µg/L,2015,2018,carmen edits,
USA-MDA,FNU,Turbidity,Turbidity_FNU,Turbidity (FNU),Turbidity,FNU,2015,2018,carmen edits,
USA-MDA,pH,pH,pH,pH,pH,pH,2015,2018,carmen edits,
USA-MDA,Degrees C,Temperature,Temp_C,Temperature (°C),temp,degrees C,2015,2018,carmen edits,
USA-MDA,m,Depth,Depth_m,Depth (m),depth,m,2015,2018,carmen edits,
USA-MDA,V,Battery,Battery_V,Battery (V),battery,V,2015,2018,carmen edits,
USA-MDA,,Site,site_code,Site Code,site code,Site Code,2015,2018,carmen edits,
USA-MDA,Timestamp floored 15 min,,timestamp2,Timestamp (15 min),timestamp floored 15 min,15 min,2015,2018,carmen edits,
USA-MDA,timestamp floored minute,,timestamp3,Timestamp (min),timestamp floored minute,min,2015,2018,carmen edits,
USA-MDA,row ID,,ID,Not published,row ID,row ID,,2018,carmen edits,
